,Unnamed: 0,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,ID
652,676,Tomáš Satoranský,SG,30,NOP,32,3,15.0,1.0,3.3,0.299,0.2,1.0,0.161,0.8,2.4,0.355,0.322,0.6,0.8,0.76,0.6,1.4,2.0,2.4,0.4,0.0,0.7,1.0,2.8,0.29,20.6,0.2,-5.6,-0.5,10.8,0.3,0.234,-5.1,4.1,-0.3,6.5,1.4,16.3,7.4,0.373,12.6,-0.4,0.0,-0.003,,,
653,677,Tomáš Satoranský,SF,30,SAS,1,0,9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,3.0,4.0,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,-1.3,-2.1,11.7,0.0,,0.8,0.0,0.0,12.8,0.0,0.0,5.8,0.852,8.3,0.0,0.0,0.2,,,
654,678,Tomáš Satoranský,PG,30,WAS,22,10,18.9,1.8,3.8,0.476,0.3,1.0,0.273,1.5,2.8,0.548,0.512,1.0,1.1,0.84,0.4,2.4,2.8,4.9,0.7,0.2,1.0,1.7,4.9,0.262,35.0,0.8,-1.5,0.0,13.6,0.3,0.298,-1.4,2.4,0.7,14.4,1.8,19.5,8.1,0.563,12.6,0.1,1.0,0.12,,,
655,679,Jordan Schakel,SG,23,WAS,4,0,7.5,0.3,2.8,0.091,0.3,1.5,0.167,0.0,1.3,0.0,0.136,0.5,0.5,1.0,0.5,1.5,2.0,0.0,0.3,0.0,0.3,0.0,1.3,0.545,0.0,0.0,-13.0,-4.3,21.8,0.0,0.182,-8.6,7.5,-0.2,-1.2,1.6,7.8,14.8,0.21,19.1,-0.1,-0.1,-0.204,,,/players/s/schakjo01.html
656,680,Admiral Schofield,SF,24,ORL,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8,0.612,7.9,1.0,-5.4,-1.2,16.3,0.3,0.116,-4.2,3.8,-0.1,7.5,0.4,13.4,10.0,0.538,14.5,-0.4,0.3,0.027,"$1,997,238",ORL,/players/s/schofad01.html
657,681,Dennis Schröder,PG,28,TOT,64,29,28.7,4.9,11.3,0.431,1.3,3.9,0.344,3.5,7.4,0.477,0.49,2.5,2.9,0.853,0.5,2.8,3.3,4.6,0.8,0.1,2.2,2.4,13.5,0.345,24.2,0.4,-1.9,-0.4,10.5,1.9,0.254,-1.5,2.0,1.0,13.0,1.4,15.1,6.3,0.539,22.6,0.0,2.9,0.076,,,/players/s/schrode01.html
658,682,Dennis Schröder,PG,28,BOS,49,25,29.2,5.2,11.9,0.44,1.4,3.9,0.349,3.9,8.0,0.485,0.497,2.5,3.0,0.848,0.6,2.8,3.3,4.2,0.8,0.1,2.1,2.4,14.4,0.329,22.0,0.3,-1.2,0.0,10.0,1.8,0.248,-1.2,2.2,1.0,13.5,1.4,13.8,6.2,0.543,23.1,0.3,2.8,0.092,,,/players/s/schrode01.html
659,683,Dennis Schröder,PG,28,HOU,15,4,26.9,3.7,9.3,0.393,1.3,3.9,0.328,2.4,5.5,0.439,0.461,2.3,2.6,0.872,0.4,2.9,3.3,5.9,0.8,0.2,2.6,2.5,10.9,0.414,32.0,0.7,-4.4,-1.9,12.0,0.1,0.279,-2.5,1.6,0.1,11.5,1.4,19.9,6.8,0.519,20.6,-0.2,0.2,0.02,,,/players/s/schrode01.html
660,684,Tre Scott,SF,25,CLE,2,0,5.5,1.5,3.0,0.5,0.0,0.5,0.0,1.5,2.5,0.6,0.5,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.5,0.0,1.0,3.0,0.167,0.0,8.1,-3.0,1.8,9.8,0.0,0.0,-4.8,10.3,0.0,20.4,4.5,0.0,10.1,0.5,24.1,0.0,0.0,0.138,,,
661,685,Jay Scrubb,SG,21,LAC,18,0,6.7,1.0,2.6,0.391,0.3,1.2,0.286,0.7,1.4,0.48,0.457,0.4,0.6,0.7,0.1,0.8,0.9,0.4,0.2,0.2,0.4,0.5,2.7,0.457,9.7,2.1,-4.8,-0.4,11.9,0.1,0.217,-4.4,1.8,-0.1,9.3,1.6,12.2,7.0,0.486,20.8,-0.1,0.0,0.002,,,/players/s/scrubja01.html
662,686,Wayne Selden,SG,27,NYK,3,0,6.3,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.375,0.7,1.3,0.5,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,1.7,0.5,7.2,0.0,-5.9,-1.6,5.8,0.0,1.0,-4.3,0.0,0.0,4.3,0.0,0.0,2.8,0.434,13.3,0.0,0.0,0.016,,,
663,687,Alperen Şengün,C,19,HOU,72,13,20.7,3.5,7.3,0.474,0.4,1.6,0.248,3.1,5.7,0.539,0.502,2.3,3.2,0.711,1.9,3.5,5.5,2.6,0.8,0.9,2.0,3.0,9.6,0.223,19.1,4.1,-1.0,0.6,18.9,1.3,0.442,-1.6,10.1,0.8,16.0,1.9,18.8,14.5,0.552,22.0,0.4,2.1,0.068,"$3,536,280",HOU,/players/s/sengual01.html
664,688,Collin Sexton,SG,23,CLE,11,11,28.7,6.2,13.7,0.45,1.0,4.1,0.244,5.2,9.6,0.538,0.487,2.6,3.5,0.744,1.2,2.1,3.3,2.1,0.9,0.0,2.8,2.3,16.0,0.298,11.9,0.0,-4.1,-0.7,7.9,0.3,0.258,-3.5,4.6,-0.4,11.2,1.6,15.6,6.3,0.523,27.9,-0.2,-0.1,-0.009,"$17,325,000",UTA,/players/s/sextoco01.html
