,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear
180,Luguentz Dort,SG,22,OKC,51,51,32.6,5.7,14.2,0.404,2.5,7.7,0.332,3.2,6.6,0.487,0.493,3.2,3.7,0.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,2.9,17.2,0.539,8.6,1.0,-2.3,-0.7,10.9,1.1,0.263,-1.5,2.3,0.2,12.3,1.3,9.8,6.5,0.541,23.3,-0.1,1.4,0.04,"$15,277,778",OKC,"$1,782,621",$15277778,2022,2021,2023
181,Ayo Dosunmu,SG,22,CHI,77,40,27.4,3.6,6.9,0.52,0.9,2.4,0.376,2.7,4.5,0.596,0.585,0.7,1.0,0.679,0.4,2.4,2.8,3.3,0.8,0.4,1.4,2.4,8.8,0.348,16.5,1.2,-2.0,-0.1,9.9,1.3,0.146,-1.9,1.4,1.7,11.2,1.4,15.9,5.7,0.596,14.1,0.0,3.0,0.069,,,"$925,258",$6481482,2022,2021,2023
182,Damyean Dotson,SG,27,NYK,2,0,10.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.667,0.5,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,2.0,0.25,6.9,0.0,-4.9,-1.2,10.4,0.0,0.0,-3.7,0.0,0.0,6.4,0.0,0.0,5.1,0.5,8.3,0.0,0.0,0.045,,,,,2022,2021,2023
183,Devon Dotson,PG,22,CHI,11,0,7.7,1.0,2.1,0.478,0.2,0.8,0.222,0.8,1.3,0.643,0.522,0.5,0.8,0.556,0.1,0.7,0.8,1.4,0.1,0.0,0.5,1.0,2.6,0.391,23.9,0.0,-4.9,-1.5,10.5,0.0,0.391,-3.4,1.3,0.1,9.8,0.6,15.6,6.0,0.538,16.6,-0.1,0.1,0.048,,,,,2022,2021,2023
184,Sekou Doumbouya,PF,21,LAL,2,0,8.0,2.5,4.0,0.625,0.5,1.0,0.5,2.0,3.0,0.667,0.688,1.5,2.0,0.75,1.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,7.0,0.25,0.0,11.1,18.8,10.0,26.8,0.1,0.5,8.8,13.5,0.0,40.7,9.0,17.0,20.2,0.717,31.6,0.1,0.1,0.3,,,,,2022,2021,2023
185,Jeff Dowtin,PG,24,TOT,9,0,12.0,0.9,2.9,0.308,0.1,1.0,0.111,0.8,1.9,0.412,0.327,0.2,0.2,1.0,0.9,1.1,2.0,1.1,0.6,0.1,0.6,0.6,2.1,0.346,12.7,0.9,-5.6,0.1,9.8,0.1,0.077,-5.7,7.9,-0.1,6.8,2.2,15.7,8.9,0.353,12.8,-0.1,0.0,-0.01,,,,$2019706,2022,2021,2023
186,Jeff Dowtin,PG,24,GSW,4,0,7.0,0.8,1.5,0.5,0.0,0.3,0.0,0.8,1.3,0.6,0.5,0.0,0.0,,0.3,1.5,1.8,0.8,0.0,0.3,0.3,0.5,1.5,0.167,14.6,3.4,-3.6,0.7,22.7,0.0,0.0,-4.3,4.0,0.0,9.5,0.0,14.3,13.7,0.5,10.9,0.0,0.1,0.089,,,,$2019706,2022,2021,2023
187,Jeff Dowtin,PG,24,MIL,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-22.6,-6.9,0.0,0.0,0.0,-15.7,0.0,0.0,-12.9,0.0,0.0,0.0,0.0,14.2,0.0,0.0,-0.344,,,,$2019706,2022,2021,2023
188,Jeff Dowtin,PG,24,ORL,4,0,19.3,1.3,4.8,0.263,0.3,1.8,0.143,1.0,3.0,0.333,0.289,0.5,0.5,1.0,1.8,1.0,2.8,1.8,1.3,0.0,1.0,0.8,3.3,0.368,12.5,0.0,-5.6,0.2,5.5,0.1,0.105,-5.8,9.6,-0.1,6.5,3.1,16.8,7.5,0.327,13.4,-0.1,-0.1,-0.033,,,,$2019706,2022,2021,2023
189,PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,0.364,0.8,2.7,0.313,1.2,2.8,0.412,0.439,0.6,0.7,0.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4,0.485,11.3,1.6,-2.0,1.0,15.6,0.4,0.131,-3.0,4.8,-0.1,8.7,1.6,11.0,10.3,0.463,15.2,0.0,0.3,0.038,,,"$1,910,860",,2022,2021,2023
190,Goran Dragić,PG,35,TOT,21,8,23.7,2.7,7.2,0.377,0.8,3.0,0.254,2.0,4.2,0.466,0.43,1.3,1.6,0.818,0.6,2.5,3.1,4.1,0.9,0.2,1.6,2.1,7.5,0.417,22.9,0.7,-3.3,-0.5,11.3,0.4,0.219,-2.8,2.9,-0.1,10.0,1.9,17.0,7.1,0.474,17.2,-0.2,0.4,0.035,,,"$728,742",,2022,2021,2023
191,Goran Dragić,PG,35,TOR,5,2,18.0,2.6,6.8,0.382,0.8,2.8,0.286,1.8,4.0,0.45,0.441,2.0,2.0,1.0,0.4,2.4,2.8,1.8,1.0,0.2,0.2,1.6,8.0,0.412,14.4,1.1,1.9,2.6,15.3,0.1,0.294,-0.6,2.3,0.2,16.2,2.8,2.5,8.4,0.521,18.7,0.1,0.3,0.162,,,"$728,742",,2022,2021,2023
